StudyArea,Plot,Uplot,Date,Jday,Season,Year,Occasion,Board,SVL1,TL1,SVL2,TL2,Sex,Morph,New/Recap,Mark1,Mark2,MarkFinal,Umark,Snout,NumberEggs,Notes
Bridgewater,I,Bridgewater_I,4/14/2017,103,Spring,2017,1,A10,32,55,34,55,F,S,N,xxBR,xxBR,xxBR,Bridgewater_I_xxBR,,,
Bridgewater,I,Bridgewater_I,4/14/2017,103,Spring,2017,1,A5,31,53,30,52,F,S,N,xxRx,xxRx,xxRx,Bridgewater_I_xxRx,,,immature eggs (not countable)
Bridgewater,I,Bridgewater_I,4/14/2017,103,Spring,2017,1,A6,41,75,45,73,F,S,N,xxxB,xxxB,xxxB,Bridgewater_I_xxxB,,7,
Bridgewater,I,Bridgewater_I,4/14/2017,103,Spring,2017,1,A7,31,43,30,43,F,S,N,xxYR,xxYR,xxYR,Bridgewater_I_xxYR,,,
Bridgewater,I,Bridgewater_I,4/14/2017,103,Spring,2017,1,A9,17,30,18,31,U,S,N,xxxR,xxxR,xxxR,Bridgewater_I_xxxR,,,
Bridgewater,I,Bridgewater_I,4/14/2017,103,Spring,2017,1,A9,21,38,21,38,U,L,N,xxxO,xxxO,xxxO,Bridgewater_I_xxxO,,,blunt tail
Bridgewater,I,Bridgewater_I,4/14/2017,103,Spring,2017,1,B4,41,78,45,77,F,S,N,xxYO,xxYO,xxYO,Bridgewater_I_xxYO,,9,
Bridgewater,I,Bridgewater_I,4/14/2017,103,Spring,2017,1,C10,44,81,43,79,F,S,N,xxBO,xxBO,xxBO,Bridgewater_I_xxBO,,9,
Bridgewater,I,Bridgewater_I,4/14/2017,103,Spring,2017,1,C5,43,50,45,48,M,S,N,xxYB,xxYB,xxYB,Bridgewater_I_xxYB,cirri,,no tail
Bridgewater,I,Bridgewater_I,4/14/2017,103,Spring,2017,1,C8,40,77,39,77,M,S,N,xxBx,xxBx,xxBx,Bridgewater_I_xxBx,cirri,,
Bridgewater,I,Bridgewater_I,4/14/2017,103,Spring,2017,1,D1,39,66,41,66,M,S,N,xxOx,xxOx,xxOx,Bridgewater_I_xxOx,,,blunt tail
Bridgewater,I,Bridgewater_I,4/14/2017,103,Spring,2017,1,D5,22,23,22,22,U,L,N,xxxY,xxxY,xxxY,Bridgewater_I_xxxY,,,no tail
Bridgewater,I,Bridgewater_I,4/14/2017,103,Spring,2017,1,E1,20,33,20,33,U,L,N,xxYY,xxYY,xxYY,Bridgewater_I_xxYY,,,
Bridgewater,I,Bridgewater_I,4/14/2017,103,Spring,2017,1,E6,30,58,33,59,M,L,N,xxYx,xxYx,xxYx,Bridgewater_I_xxYx,cirri,,
Bridgewater,II,Bridgewater_II,4/14/2017,103,Spring,2017,1,B7,31.77,55.25,33.95,55.25,U,S,N,xxBB,xxBB,xxBB,Bridgewater_II_xxBB,,,
Bridgewater,II,Bridgewater_II,4/14/2017,103,Spring,2017,1,C5,31.43,52.63,29.51,51.56,U,L,N,xYxR,xYxR,xYxR,Bridgewater_II_xYxR,,,green flecking on dorsum
Bridgewater,II,Bridgewater_II,4/14/2017,103,Spring,2017,1,C9,41.14,74.83,44.57,73.36,U,L,N,xYxO,xYxO,xYxO,Bridgewater_II_xYxO,,,green flecking on dorsum
Bridgewater,II,Bridgewater_II,4/14/2017,103,Spring,2017,1,E6,30.57,42.6,29.67,42.86,U,S,N,xxBY,xxBY,xxBY,Bridgewater_II_xxBY,,,marks are migrating
Bridgewater,III,Bridgewater_III,4/14/2017,103,Spring,2017,1,A10,17.26,30.11,18.38,30.79,U,S,N,xxBRO,xxBRO,xxBRO,Bridgewater_III_xxBRO,,,blunt tail
Bridgewater,III,Bridgewater_III,4/14/2017,103,Spring,2017,1,A5,20.99,37.76,21.17,37.73,F,S,N,xxYOO,xxYOO,xxYOO,Bridgewater_III_xxYOO,,5,
Bridgewater,III,Bridgewater_III,4/14/2017,103,Spring,2017,1,A7,40.88,78,44.6,76.71,F,L,N,xxYYO,xxYYO,xxYYO,Bridgewater_III_xxYYO,cirri,7,"green and gold flecking on dorsum, small cirri"
Bridgewater,III,Bridgewater_III,4/14/2017,103,Spring,2017,1,B10,44.43,80.9,43.2,79.22,F,S,N,xxYRO,xxYRO,xxYRO,Bridgewater_III_xxYRO,,,
Bridgewater,III,Bridgewater_III,4/14/2017,103,Spring,2017,1,B2,43.33,49.55,44.77,47.93,F,S,N,xxBOO,xxBOO,xxBOO,Bridgewater_III_xxBOO,,,
Bridgewater,III,Bridgewater_III,4/14/2017,103,Spring,2017,1,B3,40.14,77.07,39.08,76.88,U,S,N,xxBxO,xxBxO,xxBxO,Bridgewater_III_xxBxO,,,
Bridgewater,III,Bridgewater_III,4/14/2017,103,Spring,2017,1,B9,38.99,66.17,40.51,66.4,M,S,N,xxYBO,xxYBO,xxYBO,Bridgewater_III_xxYBO,cirri,,
Bridgewater,III,Bridgewater_III,4/14/2017,103,Spring,2017,1,C3,22.47,22.59,21.73,22.14,U,S,N,xxOxO,xxOxO,xxOxO,Bridgewater_III_xxOxO,,,no tail
Bridgewater,III,Bridgewater_III,4/14/2017,103,Spring,2017,1,C3,19.62,33.39,19.85,33.02,F,L,N,xxBYO,xxBYO,xxBYO,Bridgewater_III_xxBYO,,,
Bridgewater,III,Bridgewater_III,4/14/2017,103,Spring,2017,1,C4,30.45,58.34,32.51,59.29,U,S,N,xxBBO,xxBBO,xxBBO,Bridgewater_III_xxBBO,,,
Bridgewater,III,Bridgewater_III,4/14/2017,103,Spring,2017,1,C6,22.76,42.41,22.28,40.53,F,S,N,xYxRO,xYxRO,xYxRO,Bridgewater_III_xYxRO,,10,
Bridgewater,III,Bridgewater_III,4/14/2017,103,Spring,2017,1,C7,22.92,40.2,21.9,40.64,F,S,N,xYxOO,xYxOO,xYxOO,Bridgewater_III_xYxOO,,7,
Bridgewater,III,Bridgewater_III,4/14/2017,103,Spring,2017,1,D1,22.1,39.51,21.05,37.39,F,S,N,xxYxO,xxYxO,xxYxO,Bridgewater_III_xxYxO,,8,
Bridgewater,III,Bridgewater_III,4/14/2017,103,Spring,2017,1,D10,21.68,35.8,21.43,36.32,M,S,N,xxxYO,xxxYO,xxxYO,Bridgewater_III_xxxYO,cirri,,blunt tail
Bridgewater,III,Bridgewater_III,4/14/2017,103,Spring,2017,1,D3,27.87,43.01,27,41,F,S,N,xxRxO,xxRxO,xxRxO,Bridgewater_III_xxRxO,,,
